Isotope	State	Intensity (pps)	Proton current	Ion source	Info
70Yb	Yb171g	1.50E10	60	TRILIS	FC differnce laser on/off
70Yb	Yb170g	4.50E10	60	TRILIS	FC differnce laser on/off
70Yb	Yb169g	5.10E10	60	TRILIS	FC differnce laser on/off
70Yb	Yb168g	1.90E11	60	TRILIS	FC differnce laser on/off
70Yb	Yb166g	1.50E11	60	TRILIS	FC differnce laser on/off
39Y	Y89g	2.50E7	60	TRILIS	Faraday Cup Measurement
71Lu	Lu176g	9.90E8	60	TRILIS	FC difference laser on/off
71Lu	Lu179g	5.60E7	60	TRILIS	FC difference laser on/off
71Lu	Lu174g	2.80E9	60	TRILIS	FC difference laser on/off
71Lu	Lu178g	1.40E8	60	TRILIS	FC difference laser on/off
67Ho	Ho164g	6.10E10	60	Re surface	
71Lu	Lu164g	1.50E9	60	Re surface	
69Tm	Tm164m1	2.60E9	60	Re surface	
69Tm	Tm165g	2.80E10	60	Re surface	
66Dy	Dy150g	2.00E6	60	Re surface	160Dy16O
71Lu	Lu166g	1.30E9	60	Re surface	
71Lu	Lu166m1	9.50E8	60	Re surface	
71Lu	Lu166m2	3.00E8	60	Re surface	
71Lu	Lu167g	4.70E9	60	Re surface	
70Yb	Yb167g	2.50E10	60	Re surface	
68Er	Er167m1	2.10E6	60	TRILIS	
68Er	Er167m1	2.70E6	60	TRILIS	
67Ho	Ho162g	9.90E9	60	Re surface	
69Tm	Tm162g	1.20E10	60	Re surface	
69Tm	Tm162m1	3.80E8	60	Re surface	
70Yb	Yb162g	1.50E10	60	Re surface	
68Er	Er162g	8.80E9	60	TRILIS	FC difference laser on/off
69Tm	Tm162g	1.00E10	60	Re surface	
69Tm	Tm162m1	2.50E8	60	Re surface	
70Yb	Yb162g	1.60E10	60	Re surface	
68Er	Er162g	6.40E9	60	TRILIS	FC difference laser on/off
68Er	Er161g	3.90E9	60	Re surface	
68Er	Er161g	1.00E10	60	TRILIS	
69Tm	Tm161g	9.30E9	60	Re surface	
68Er	Er160g	1.60E10	60	TRILIS	FC difference laser on/off
69Tm	Tm160g	1.00E10	60	Re surface	relative BR
69Tm	Tm159g	4.00E9	60	Re surface	
68Er	Er159g	9.30E9	60	TRILIS	
